lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
2512870,Whately,Rural (fringe),1,139,1,1,10,0,12,11.58,9,0,,1,139.0,33,2710000,1388000,1631000,951000,58.31,19496.4,79250.0
2512930,Whitman-Hanson,Large Suburb,6,3822,5,9,156,70,240,15.93,87,7,546.0,2,1911.0,424,58538000,34059000,33379000,24195000,72.49,15316.06,100812.5
2512950,Whittier Regional Vocational Technical,Rural (fringe),1,1246,0,0,0,113,113,11.03,5,3,415.33,0,,142,28983000,16275000,16706000,10836000,64.86,23260.83,95893.81
2512990,Williamsburg,Rural (fringe),1,147,1,1,12,0,15,9.8,7,0,,0,,28,3705000,1900000,1834000,1303000,71.05,25204.08,86866.67
2513050,Wilmington,Large Suburb,8,3197,7,17,176,74,275,11.63,78,7,456.71,1,3197.0,469,68729000,37625000,34768000,25518000,73.4,21497.97,92792.73
2513080,Winchendon,Midsize Suburb,6,1265,3,5,53,25,88,14.38,36,5,253.0,0,,170,21938000,11369000,12359000,8401000,67.97,17342.29,95465.91
2513110,Winchester,Large Suburb,7,4639,5,17,239,93,355,13.07,97,10,463.9,6,773.17,589,81372000,46165000,46193000,33529000,72.58,17540.85,94447.89
2513170,Winthrop,Large Suburb,4,1983,6,7,90,40,145,13.68,51,4,495.75,0,,258,32983000,18629000,18161000,12946000,71.28,16632.88,89282.76
2513200,Woburn,Large Suburb,10,4524,9,23,229,104,367,12.33,143,11,411.27,1,4524.0,647,98044000,55918000,52173000,37469000,71.82,21671.97,102095.37
2513230,Worcester,Midsize City,45,25415,58,68,1121,603,1851,13.73,621,36,705.97,12,2117.92,3394,513427000,258844000,257525000,179878000,69.85,20201.73,97178.82
2513260,Worthington,Rural (distant),1,74,1,1,4,0,7,10.57,6,0,,0,,15,0,0,0,0,,0.0,0.0
2513290,Wrentham,Large Suburb,2,1009,2,8,66,0,78,12.94,54,0,,0,,163,20643000,11743000,11358000,7854000,69.15,20458.87,100692.31
2513321,Farmington River Reg,Rural (distant),1,115,2,1,9,0,12,9.58,7,0,,0,,28,4853000,1738000,1737000,1028000,59.18,42200.0,85666.67
2600005,Battle Creek Public Schools,Small City,11,3910,4,10,70,115,257,15.21,44,6,651.67,0,,567,62246000,27569000,24357000,13859000,56.9,15919.69,53926.07
2600006,Bessemer Area School District,Rural (distant),2,408,0,2,11,11,28,14.57,1,0,,0,,41,4436000,2792000,2111000,1590000,75.32,10872.55,56785.71
