lea_id,district_name,urban_centric_locale,number_of_schools_in_district,enrollment,pre_k_teachers,kindergarten_teachers,elementary_teachers,secondary_teachers,total_teachers,student_teacher_ratio,instructional_aides,guidance_counselors,student_guidance_counselor_ratio,librarian_total,student_librarian_ratio,total_staff,district_expense_total,expenses_for_instruction,salaries_total,salaries_instruction,instruction_salary_percent_of_total,per_student_expenditure,per_teacher_salary_expenses
5602990,Goshen County School District #1,Town (remote),11,1662,0,7,65,77,150,11.08,49,5,332.4,3,554,331,33857000,18739000,18029000,11808000,65.49,20371.24,78720
5602870,Fremont County School District # 1,Town (remote),6,1812,0,8,64,62,134,13.52,60,8,226.5,3,604,320,33542000,19140000,17425000,11931000,68.47,18511.04,89037.31
5602830,Fremont County School District # 6,Rural (remote),5,406,2,2,15,21,40,10.15,10,2,203,0,-999,90,10561000,4747000,4759000,3017000,63.4,26012.32,75425
5602820,Fremont County School District #21,Rural (remote),3,523,0,2,39,19,61,8.57,30,3,174.33,1,523,146,22325000,9092000,8686000,5452000,62.77,42686.42,89377.05
5602760,Uinta County School District #1,Town (remote),8,2730,0,13,99,96,209,13.06,71,8,341.25,5,546,485,45603000,24915000,24593000,15948000,64.85,16704.4,76306.22
5602670,Fremont County School District # 2,Rural (remote),3,146,0,1,7,8,17,8.59,5,1,146,0,-999,42,4388000,2016000,2111000,1246000,59.02,30054.79,73294.12
5602370,Crook County School District #1,Rural (remote),5,1184,0,7,51,51,109,10.86,38,3,394.67,3,394.67,241,23517000,12698000,11586000,7695000,66.42,19862.33,70596.33
5602150,Converse County School District #2,Rural (distant),4,592,0,0,25,23,49,12.08,17,1,592,0,-999,108,11206000,5746000,5486000,3524000,64.24,18929.05,71918.37
5602140,Converse County School District #1,Rural (fringe),10,1717,0,7,77,67,151,11.37,61,7,245.29,2,858.5,338,34191000,19641000,16991000,12209000,71.86,19913.22,80854.3
5602070,Park County School District # 6,Town (remote),8,2011,0,3,78,86,168,11.97,60,7,287.29,1,2011,352,34955000,19583000,19435000,13319000,68.53,17381.9,79279.76
5601980,Laramie County School District #1,Small City,38,14312,9,63,509,434,1017,14.07,287,25,572.48,8,1789,2214,244816000,132098000,127272000,84073000,66.06,17105.65,82667.65
5601700,Carbon County School District #2,Rural (remote),7,604,0,4,34,37,75,8.05,24,4,151,2,302,177,18325000,8017000,7919000,4819000,60.85,30339.4,64253.33
5601470,Campbell County School District #1,Town (remote),23,8721,2,42,340,259,644,13.54,300,28,311.46,11,792.82,1601,159128000,78393000,82503000,51058000,61.89,18246.53,79282.61
5601460,Big Horn County School District #2,Rural (remote),3,697,0,4,24,28,56,12.45,17,3,232.33,0,-999,119,14202000,6515000,6777000,4277000,63.11,20375.9,76375
5601420,Big Horn County School District #1,Rural (remote),6,1090,1,3,28,44,77,14.16,20,3,363.33,1,1090,160,20366000,13122000,8925000,6284000,70.41,18684.4,81610.39
5601260,Sublette County School District #9,Rural (remote),4,517,0,4,21,23,48,10.77,12,1,517,0,-999,105,12561000,5160000,5970000,3541000,59.31,24295.94,73770.83
5601090,Big Horn County School District #4,Rural (remote),2,254,0,2,10,19,31,8.19,11,1,254,1,254,68,27528000,4127000,3784000,2523000,66.68,108377.95,81387.1
5601030,Carbon County School District #1,Town (remote),5,1750,2,10,55,70,138,12.68,47,5,350,1,1750,308,32285000,15532000,16416000,9936000,60.53,18448.57,72000
5600960,Fremont County School District #38,Rural (distant),2,485,1,2,28,6,38,12.76,26,3,161.67,1,485,118,14814000,5873000,6899000,3646000,52.85,30544.33,95947.37
5600730,Albany County School District #1,Town (remote),18,4058,2,20,171,159,353,11.5,113,17,238.71,3,1352.67,738,66057000,37916000,36747000,25266000,68.76,16278.22,71575.07
5600016,Northwest Wyoming BOCES,Rural (fringe),1,12,0,0,2,0,2,6,5,0,-999,0,-999,12,-2,-2,-2,-2,100,-0.17,-1
5517220,Yorkville J2 School District,Rural (fringe),1,438,1,2,17,11,31,14.13,2,1,438,1,438,45,6261000,3131000,2775000,2020000,72.79,14294.52,65161.29
5517190,Wrightstown Community School District,Town (fringe),3,1367,3,3,36,45,88,15.53,13,3,455.67,1,1367,160,15495000,8408000,7686000,5499000,71.55,11335.04,62488.64
5517160,Woodruff J1 School District,Rural (remote),1,545,3,3,24,13,43,12.67,9,2,272.5,0,-999,81,7888000,3922000,3858000,2536000,65.73,14473.39,58976.74
5517130,Wonewoc-Union Center School District,Rural (remote),4,345,1,1,9,16,27,12.78,8,1,345,0,-999,54,5791000,2586000,2406000,1587000,65.96,16785.51,58777.78
5517100,Wittenberg-Birnamwood School District,Rural (distant),3,1178,3,4,36,40,84,14.02,1,3,392.67,1,1178,153,15571000,7364000,7374000,4945000,67.06,13218.17,58869.05
5517070,Wisconsin Rapids School District,Town (distant),12,5114,15,20,143,151,330,15.5,70,14,365.29,2,2557,626,77270000,36803000,34020000,23333000,68.59,15109.5,70706.06
5517040,Wisconsin Dells School District,Town (distant),5,1787,4,8,55,58,125,14.3,18,5,357.4,1,1787,232,26465000,12227000,11539000,7678000,66.54,14809.74,61424
5516860,Winter School District,Rural (remote),3,249,1,1,8,13,23,10.83,3,1,249,0,-999,45,5056000,2092000,2323000,1412000,60.78,20305.22,61391.3
5516830,Winneconne Community School District,Town (fringe),3,1682,3,3,31,51,89,18.9,0,4,420.5,0,-999,109,18885000,9951000,9723000,6810000,70.04,11227.71,76516.85
5516770,Wilmot UHS School District,Rural (fringe),1,1026,0,0,0,69,69,14.87,17,4,256.5,1,1026,141,18477000,8447000,8976000,5719000,63.71,18008.77,82884.06
5516740,Williams Bay School District,Rural (fringe),3,721,2,1,19,28,51,14.14,1,2,360.5,2,360.5,78,10277000,5483000,4543000,3410000,75.06,14253.81,66862.75
5516710,Wild Rose School District,Rural (distant),2,580,1,2,18,22,43,13.49,4,0,-999,1,580,84,8810000,3960000,3741000,2530000,67.63,15189.66,58837.21
5516680,Whitewater Unified School District,Town (distant),6,1940,3,7,58,70,139,13.96,35,5,388,2,970,255,34670000,14597000,13088000,9122000,69.7,17871.13,65625.9
5516650,Whitehall School District,Rural (remote),2,768,3,3,22,28,56,13.71,12,2,384,0,-999,105,11831000,5812000,4977000,3463000,69.58,15404.95,61839.29
5516620,Whitefish Bay School District,Large Suburb,4,2992,5,8,66,105,185,16.17,25,9,332.44,4,748,312,36084000,20633000,20271000,13566000,66.92,12060.16,73329.73
5516590,White Lake School District,Rural (remote),2,145,0,1,5,7,14,10.36,3,1,145,0,-999,24,3085000,1286000,1178000,813000,69.02,21275.86,58071.43
5516560,Wheatland J1 School District,Rural (fringe),1,542,2,2,21,7,33,16.42,1,1,542,0,-999,62,11370000,3873000,3869000,2597000,67.12,20977.86,78696.97
5516500,Weyauwega-Fremont School District,Rural (distant),4,857,2,4,22,33,61,14.05,10,2,428.5,0,-999,111,16283000,5715000,5471000,3866000,70.66,19000,63377.05
5516470,Weston School District,Rural (distant),3,278,1,1,9,13,25,11.12,3,1,278,0,-999,46,5215000,2465000,2295000,1566000,68.24,18758.99,62640
5516440,Westfield School District,Rural (remote),5,1061,3,4,37,43,87,12.2,16,3,353.67,1,1061,158,15186000,7785000,7680000,5177000,67.41,14312.91,59505.75
5516410,Westby Area School District,Rural (distant),4,1102,4,4,41,32,82,13.44,9,3,367.33,3,367.33,150,14974000,7118000,6877000,4380000,63.69,13588.02,53414.63
5516350,West Salem School District,Midsize Suburb,3,1797,4,7,55,61,128,14.04,28,5,359.4,3,599,245,34640000,12230000,12506000,8095000,64.73,19276.57,63242.19
